"area_mean","symmetry_mean","fractal_dimension_mean","radius_se","texture_se","smoothness_se","concavity_se","concave.points_se","symmetry_se","fractal_dimension_se","texture_worst","smoothness_worst","compactness_worst","symmetry_worst","fractal_dimension_worst"
470.9,0.172,0.05914,0.2505,1.025,0.004854,0.01826,0.007965,0.01386,0.002304,23.21,0.1176,0.1843,0.2618,0.07609
387.3,0.194,0.06028,0.2976,1.966,0.01289,0.003297,0.004967,0.04243,0.001963,25.78,0.1424,0.09669,0.3292,0.06522
788.5,0.199,0.06572,0.1745,0.489,0.00451,0.01951,0.01196,0.01934,0.003696,19.14,0.1235,0.255,0.3153,0.0896
1162,0.1853,0.06261,0.5558,0.6062,0.005015,0.03497,0.009643,0.01543,0.003896,30.9,0.1509,0.659,0.3672,0.1123
396.5,0.1487,0.06529,0.2344,0.9861,0.009113,0.02443,0.006435,0.01568,0.002477,29.15,0.1699,0.2196,0.2829,0.08832
594.2,0.1976,0.06457,0.5461,2.635,0.01004,0.04763,0.02853,0.01715,0.005528,15.38,0.1394,0.1364,0.216,0.07253
512.2,0.1778,0.06235,0.2143,0.7712,0.005324,0.0151,0.007584,0.02104,0.001887,21.82,0.1312,0.2548,0.3549,0.08118
2499,0.1648,0.05525,2.873,1.476,0.01345,0.06389,0.01407,0.04783,0.004476,18.47,0.1142,0.1516,0.1648,0.05525
358.9,0.1861,0.06837,0.1482,0.538,0.004474,0.02757,0.006691,0.01212,0.004672,19.35,0.1332,0.3898,0.2581,0.108
403.1,0.1411,0.06243,0.3278,1.059,0.006652,0.02221,0.007807,0.01894,0.003411,21.61,0.1144,0.1789,0.2208,0.07638
1217,0.1792,0.06552,1.111,1.161,0.006056,0.05638,0.01733,0.01884,0.004787,26.24,0.1495,0.4116,0.2968,0.09929
380.3,0.1615,0.06144,0.2865,1.678,0.006908,0.006972,0.006159,0.02694,0.00206,28.92,0.1282,0.1108,0.2976,0.07123
685,0.2041,0.06898,0.253,0.8749,0.006965,0.07926,0.02234,0.01499,0.005784,27.57,0.1419,0.709,0.2866,0.1155
246.3,0.1788,0.06833,0.1746,1.305,0.007389,0.003681,0.003472,0.02701,0.002153,20.07,0.09861,0.05232,0.2991,0.07804
428.9,0.1718,0.0578,0.1859,1.926,0.007831,0.01556,0.00624,0.03139,0.001988,26.48,0.1356,0.1,0.32,0.06576
476.7,0.2082,0.07325,0.3921,1.207,0.007234,0.1114,0.02721,0.03232,0.009627,21.03,0.1175,0.4061,0.3231,0.1034
716.6,0.1594,0.05986,0.2711,0.3621,0.005472,0.02039,0.00826,0.01523,0.002881,20.24,0.1491,0.3331,0.3415,0.0974
1203,0.2069,0.05999,0.7456,0.7869,0.00615,0.03832,0.02058,0.0225,0.004571,25.53,0.1444,0.4245,0.3613,0.08758
1214,0.1802,0.06188,0.5079,0.8737,0.005089,0.03052,0.01178,0.01057,0.003391,25.23,0.1417,0.3309,0.2549,0.09136
512,0.2035,0.06501,0.3106,1.51,0.007807,0.05112,0.01876,0.0286,0.005715,24.85,0.1343,0.2658,0.3113,0.08317
698.8,0.1565,0.05504,1.214,2.188,0.006883,0.01818,0.01917,0.007882,0.001754,25.2,0.09387,0.05131,0.1565,0.05504
712.8,0.1616,0.05684,0.3105,0.8339,0.004675,0.01603,0.009222,0.01095,0.001629,31.69,0.1389,0.2057,0.2675,0.07873
373.2,0.1714,0.0634,0.1967,1.387,0.005158,0.01056,0.007483,0.01718,0.002198,26.44,0.1369,0.1482,0.2998,0.07881
563,0.1784,0.05587,0.2385,0.8265,0.00328,0.0139,0.006881,0.0138,0.001286,30.25,0.1094,0.2043,0.2994,0.07146
793.2,0.1782,0.05976,0.3371,0.7476,0.005839,0.03715,0.01459,0.01467,0.003121,21.98,0.1435,0.4478,0.3019,0.09124
1311,0.2395,0.07398,0.6298,0.7629,0.004253,0.03872,0.01567,0.01798,0.005295,33.48,0.1491,0.7584,0.4098,0.1284
684.5,0.1881,0.05907,0.2318,0.4966,0.004119,0.03644,0.01155,0.01391,0.003204,19.31,0.1136,0.3627,0.2954,0.08362
686.9,0.1687,0.05669,0.2446,0.4334,0.003271,0.0231,0.008399,0.01148,0.002379,18.22,0.1065,0.2791,0.2688,0.08273
170.4,0.2037,0.07751,0.2196,1.479,0.01547,0.09252,0.01364,0.02105,0.007551,31.89,0.1596,0.3064,0.279,0.1066
537.3,0.1632,0.05894,0.1903,0.5735,0.003632,0.001128,0.002386,0.01344,0.002585,20.45,0.1128,0.1346,0.2651,0.08385
2501,0.2061,0.05623,2.547,1.306,0.00765,0.08055,0.02598,0.01697,0.004558,31.37,0.1357,0.4256,0.2641,0.07427
466.1,0.193,0.06404,0.2978,1.502,0.007112,0.02703,0.01293,0.01958,0.004463,30.5,0.1304,0.2463,0.2972,0.09261
408.2,0.1886,0.0632,0.2456,0.7339,0.005884,0.02631,0.01304,0.01848,0.001982,19.67,0.1415,0.217,0.2787,0.07427
1670,0.1909,0.06309,1.058,0.9635,0.006428,0.04497,0.01716,0.0159,0.003053,34.51,0.1481,0.4126,0.3103,0.08677
562.1,0.1421,0.05763,0.1689,1.15,0.004942,0.007508,0.005179,0.01442,0.001684,35.63,0.1108,0.1457,0.2694,0.07061
324.9,0.1885,0.06201,0.2104,0.967,0.007086,0.01012,0.005495,0.0156,0.002606,21.77,0.1285,0.08842,0.2681,0.07399
294.5,0.135,0.0689,0.335,2.043,0.01113,0.005308,0.00525,0.01801,0.005667,26.29,0.1316,0.09473,0.1934,0.08988
728.2,0.1717,0.06097,0.3129,0.8413,0.009882,0.04531,0.01763,0.02471,0.002142,25.84,0.1257,0.1997,0.2556,0.06828
538.4,0.1628,0.05781,0.2351,1.597,0.004973,0.01498,0.009117,0.01724,0.001343,37.17,0.1072,0.1381,0.2473,0.06443
668.7,0.1521,0.05912,0.3428,0.3981,0.004732,0.01855,0.01067,0.02163,0.002783,17.93,0.122,0.2009,0.3109,0.08187
704.4,0.2521,0.07032,0.4388,0.7096,0.006789,0.06446,0.02252,0.03672,0.004394,19.08,0.139,0.5954,0.4667,0.09946
632.6,0.1508,0.05376,0.1302,0.7198,0.003492,0.004826,0.003608,0.01536,0.001381,20.65,0.08567,0.05036,0.2458,0.0612
502.5,0.159,0.05653,0.2368,0.8732,0.007962,0.01585,0.008662,0.02254,0.001906,19.76,0.1296,0.07061,0.2383,0.0641
656.4,0.1872,0.06341,0.2542,1.079,0.007138,0.03829,0.01162,0.02068,0.006111,31.73,0.134,0.4202,0.3187,0.1023
886.3,0.1893,0.05534,0.599,1.391,0.006123,0.02626,0.01604,0.02091,0.003493,26.3,0.1168,0.2119,0.281,0.07228
412.6,0.162,0.06582,0.2315,0.5391,0.006153,0.01693,0.006884,0.01651,0.002551,17.16,0.1431,0.1851,0.2772,0.08756
419.8,0.1993,0.06453,0.5018,1.693,0.009433,0.04167,0.01152,0.03397,0.005061,26.21,0.1358,0.1892,0.3168,0.07987
711.8,0.1721,0.05544,0.1783,0.4125,0.005012,0.01551,0.009155,0.01647,0.001767,15.73,0.1126,0.1737,0.2487,0.06766
546.4,0.1496,0.05674,0.2927,0.8907,0.006032,0.02259,0.009057,0.01482,0.002496,23.6,0.1276,0.1311,0.2506,0.07623
736.9,0.1966,0.07069,0.4209,0.6583,0.005393,0.04303,0.0132,0.01792,0.004168,17.04,0.1531,0.3583,0.3216,0.101
464.5,0.1551,0.06761,0.2949,1.656,0.01134,0.03125,0.01135,0.01879,0.005348,28.68,0.1452,0.2338,0.2268,0.09082
201.9,0.1769,0.06503,0.1563,0.9567,0.008968,0.01588,0.005917,0.02574,0.002582,21.96,0.1297,0.1357,0.3105,0.07409
689.4,0.1668,0.06869,0.372,0.8423,0.004123,0.01996,0.01004,0.01055,0.003237,20.43,0.1135,0.2176,0.2177,0.08549
501.3,0.1459,0.05544,0.2954,0.8836,0.007337,0.005383,0.005623,0.0194,0.00118,20.96,0.1068,0.09605,0.2165,0.06025
485.6,0.1641,0.06854,0.2324,0.6332,0.005704,0.02636,0.01032,0.01759,0.003563,22.15,0.1533,0.3842,0.323,0.1033
819.8,0.1711,0.05657,0.2067,0.4706,0.007394,0.0247,0.01431,0.01344,0.002569,17.76,0.1354,0.1361,0.23,0.0723
538.7,0.1713,0.05888,0.3237,1.473,0.007802,0.01341,0.005564,0.02086,0.002701,28.46,0.1118,0.1646,0.2687,0.07429
391.2,0.1927,0.06211,0.243,1.01,0.008577,0.02099,0.01107,0.02434,0.001217,23.03,0.1483,0.1574,0.306,0.06783
651.9,0.2116,0.06346,0.5115,0.7372,0.005508,0.04436,0.01623,0.02427,0.004841,18.24,0.1277,0.3089,0.3151,0.08473
716.6,0.1647,0.06464,0.6534,1.506,0.01052,0.04912,0.01746,0.0212,0.004867,33.22,0.166,0.2356,0.2654,0.09438
597.8,0.2251,0.07421,0.5648,1.93,0.008824,0.03112,0.01291,0.01998,0.004506,41.85,0.2226,0.5209,0.4432,0.1086
520,0.1942,0.06902,0.286,1.016,0.006794,0.0398,0.01383,0.02134,0.004603,23.19,0.1536,0.4791,0.3527,0.1016
403.3,0.1667,0.06113,0.1408,0.4607,0.00604,0.01514,0.00646,0.01344,0.002206,15.97,0.1548,0.239,0.3016,0.08523
514,0.1761,0.0654,0.2684,0.5664,0.005727,0.04393,0.009811,0.02751,0.004572,21.95,0.1288,0.3253,0.3596,0.09166
406.4,0.2131,0.07405,0.2957,1.978,0.01288,0.01865,0.01766,0.0156,0.005824,32.19,0.1768,0.3251,0.2803,0.0997
1320,0.1848,0.06222,0.5904,1.216,0.006666,0.04062,0.01479,0.01117,0.003727,30.76,0.1464,0.3597,0.248,0.08999
590,0.1773,0.05429,0.4347,1.057,0.004351,0.03371,0.01007,0.02598,0.003087,26.34,0.09368,0.1442,0.2663,0.06321
492.9,0.1799,0.05826,0.1692,0.6674,0.003888,0.01256,0.006888,0.01608,0.001638,22.15,0.1225,0.1517,0.327,0.0733
1130,0.1582,0.05461,0.7888,0.7975,0.004444,0.02269,0.0137,0.01386,0.001698,26.58,0.1193,0.2336,0.2551,0.06589
805.1,0.1876,0.06684,0.2873,0.9173,0.004563,0.03872,0.01209,0.01388,0.004081,25.09,0.1365,0.4706,0.277,0.1063
280.5,0.2036,0.07125,0.1844,0.9429,0.005954,0.05028,0.00851,0.0175,0.004031,23.07,0.1233,0.3416,0.2982,0.09825
412.7,0.1516,0.05859,0.1816,0.7656,0.006709,0.0208,0.007497,0.02124,0.002768,24.02,0.1342,0.1808,0.321,0.07863
747.2,0.1784,0.06259,0.163,0.3871,0.006034,0.03336,0.01067,0.01175,0.002256,14.2,0.1541,0.2979,0.2557,0.08181
227.2,0.1722,0.06724,0.2204,0.7873,0.009172,0,0,0.02711,0.003399,17.04,0.1162,0.07057,0.2592,0.07848
493.1,0.1709,0.07253,0.4426,1.169,0.005273,0.01405,0.01244,0.01816,0.003299,24.37,0.1456,0.2961,0.2582,0.08893
584.1,0.1662,0.06566,0.2787,0.6205,0.004717,0.01759,0.009206,0.0122,0.00313,20.86,0.1411,0.3542,0.2589,0.103
1308,0.2127,0.06251,0.6986,0.9901,0.004578,0.04005,0.01421,0.01948,0.002689,25.48,0.1268,0.3135,0.3077,0.07569
399.8,0.1734,0.05865,0.1759,0.9938,0.005133,0.01434,0.008602,0.01501,0.001588,22.02,0.119,0.1648,0.2676,0.06765
248.7,0.2378,0.09502,0.4076,1.093,0.009783,0.03483,0.02188,0.02542,0.01045,16.38,0.1902,0.3441,0.3038,0.1252
645.7,0.1949,0.07292,0.7036,1.268,0.009407,0.06899,0.01848,0.017,0.006113,29.51,0.164,0.6247,0.2844,0.1132
1104,0.231,0.06343,0.9811,1.666,0.006548,0.09723,0.02638,0.05333,0.007646,33.17,0.1247,0.7444,0.467,0.1038
817.7,0.1798,0.05391,0.7474,1.016,0.01082,0.035,0.01809,0.0155,0.001948,24.56,0.15,0.2045,0.265,0.06387
203.9,0.2222,0.08261,0.1935,1.962,0.01243,0.07753,0.01022,0.02309,0.01178,29.72,0.163,0.431,0.3322,0.1486
1347,0.2149,0.06879,0.9622,1.026,0.006399,0.07845,0.02624,0.02057,0.006213,29.41,0.1407,0.4186,0.2929,0.09873
1747,0.1797,0.05506,1.009,0.9245,0.006292,0.03582,0.01301,0.01479,0.003118,30.73,0.1515,0.2678,0.2593,0.07738
618.4,0.1506,0.06009,0.3478,1.018,0.004107,0.02821,0.0135,0.0161,0.002744,27.26,0.1153,0.3429,0.2534,0.07858
390,0.1773,0.06081,0.2144,0.9961,0.005617,0.0009737,0.002941,0.017,0.00203,22.06,0.1166,0.09794,0.2815,0.07418
477.3,0.1613,0.06013,0.3276,1.486,0.01039,0.006416,0.007895,0.02869,0.004821,16.36,0.09439,0.06477,0.228,0.07028
402,0.1167,0.06217,0.3344,1.108,0.007356,0.05915,0.01712,0.02165,0.004784,17.7,0.1121,0.161,0.1811,0.07427
585,0.1473,0.0558,0.25,0.7574,0.002838,0.0178,0.005828,0.01329,0.001976,22.46,0.09711,0.1824,0.235,0.07014
221.8,0.1828,0.06757,0.3582,2.067,0.01193,0.03,0.009259,0.03357,0.003048,27.04,0.1639,0.1698,0.2972,0.07712
512.2,0.201,0.05769,0.2345,1.219,0.005518,0.02589,0.00633,0.02593,0.002157,23.64,0.1256,0.1808,0.3604,0.07062
644.2,0.165,0.06121,0.306,0.7213,0.006133,0.01615,0.01136,0.02207,0.003563,16.93,0.1347,0.1478,0.2606,0.0781
507.9,0.1539,0.05637,0.2409,1.367,0.008835,0.01328,0.009305,0.01897,0.001726,36,0.1234,0.1064,0.2407,0.06484
420.3,0.2009,0.06506,0.3446,0.7395,0.009536,0.01651,0.01121,0.01953,0.0031,18.16,0.146,0.1115,0.2765,0.07806
1001,0.2419,0.07871,1.095,0.9053,0.006399,0.05373,0.01587,0.03003,0.006193,17.33,0.1622,0.6656,0.4601,0.1189
1076,0.1953,0.05629,0.5495,0.6636,0.003872,0.0371,0.012,0.01964,0.003337,30.41,0.1249,0.3206,0.3956,0.09288
571.8,0.1353,0.05953,0.1872,0.9234,0.004477,0.01079,0.007956,0.01325,0.002551,23.19,0.1089,0.1582,0.2346,0.08025
826.8,0.1869,0.06532,0.5706,1.457,0.01056,0.05839,0.01186,0.04022,0.006187,25.21,0.1426,0.2116,0.2736,0.07953
416.2,0.1859,0.06461,0.2067,0.8745,0.005251,0.0184,0.005298,0.01449,0.002671,28.81,0.155,0.2964,0.3206,0.0895
464.4,0.1539,0.05945,0.184,1.532,0.007881,0.007004,0.006522,0.01939,0.002222,28.46,0.1222,0.09052,0.2554,0.07207
551.7,0.1386,0.05318,0.4057,1.153,0.004481,0.01358,0.01082,0.01069,0.001435,22.35,0.1006,0.1238,0.2027,0.06206
1384,0.1554,0.05661,0.6643,1.361,0.005467,0.03185,0.01466,0.01029,0.002205,32.07,0.1368,0.3101,0.2268,0.07425
512.2,0.1596,0.06409,0.2025,0.4402,0.005501,0.08158,0.0137,0.01266,0.007555,17.7,0.1254,0.5849,0.2639,0.1178
288.1,0.1653,0.06447,0.3539,4.885,0.001713,0,0,0.03799,0.001688,20.83,0.07117,0.02729,0.1909,0.06559
1052,0.186,0.05941,0.5449,0.9225,0.006176,0.02913,0.01046,0.01559,0.002725,26.2,0.1492,0.2536,0.3074,0.07863
378.4,0.203,0.06552,0.28,1.467,0.003495,0.03445,0.01024,0.02912,0.004723,28.26,0.1087,0.1782,0.3169,0.08032
575.3,0.1717,0.0566,0.3242,0.6612,0.00647,0.0181,0.01103,0.01898,0.001794,19.05,0.1278,0.1291,0.253,0.0651
566.2,0.1365,0.05335,0.2244,0.6864,0.003338,0.00203,0.003242,0.0148,0.001566,16.94,0.09023,0.05836,0.2267,0.06192
288.5,0.1903,0.06422,0.1988,0.496,0.00604,0,0,0.02277,0.00322,14.1,0.1234,0.07204,0.3105,0.08151
1174,0.1989,0.05884,0.6107,2.836,0.01124,0.07469,0.03441,0.02768,0.00624,30.44,0.1251,0.2414,0.2576,0.07602
417.2,0.1935,0.05878,0.2512,1.786,0.006122,0.01596,0.006998,0.03194,0.002211,31.62,0.09545,0.1361,0.3244,0.06745
1076,0.1907,0.06049,0.6289,0.6633,0.006294,0.05554,0.01695,0.02428,0.003535,21.32,0.1679,0.509,0.3799,0.09185
257.8,0.2197,0.07696,0.3538,1.13,0.01546,0.02197,0.0158,0.03997,0.003901,17.84,0.185,0.2097,0.3681,0.08982
664.9,0.1632,0.05255,0.316,0.9115,0.005031,0.005325,0.006324,0.01494,0.0008948,21.75,0.1011,0.07087,0.253,0.05695
514.5,0.158,0.06114,0.4993,1.798,0.006011,0.05175,0.01341,0.02669,0.007731,27.01,0.09402,0.1936,0.2488,0.08151
386.3,0.2018,0.06914,0.2562,0.9858,0.006635,0.02101,0.01164,0.02108,0.003721,20.53,0.161,0.2429,0.3343,0.09215
458.7,0.1739,0.05677,0.1924,1.571,0.00508,0.01069,0.006797,0.01447,0.001532,32.84,0.1123,0.08862,0.2694,0.06878
832.9,0.1794,0.06323,0.3037,1.284,0.006627,0.05371,0.01813,0.01682,0.004584,28.45,0.1415,0.4667,0.3054,0.09519
361.6,0.1976,0.06328,0.5196,1.918,0.008263,0.01277,0.005917,0.02466,0.002977,31.45,0.1204,0.1633,0.3059,0.07626
507.4,0.1694,0.06287,0.7311,1.748,0.004571,0.02176,0.01757,0.03373,0.005875,23.5,0.09388,0.08978,0.2179,0.06871
346.4,0.1922,0.06491,0.4505,1.197,0.00747,0.03354,0.01365,0.03504,0.003318,22.94,0.1213,0.2515,0.294,0.07587
386.1,0.2597,0.09744,0.4956,1.156,0.00911,0.05661,0.01867,0.05963,0.009208,26.5,0.2098,0.8663,0.6638,0.173
857.6,0.1846,0.05325,0.2473,0.5679,0.002667,0.01423,0.005297,0.01961,0.0017,26.56,0.1009,0.292,0.4677,0.07623
530.6,0.1453,0.05518,0.3975,0.8285,0.004148,0.002831,0.004821,0.01422,0.002273,17.4,0.1016,0.05847,0.2107,0.0658
640.7,0.1856,0.06402,0.2929,0.857,0.003818,0.02882,0.012,0.0191,0.002808,15.98,0.1313,0.1788,0.2889,0.08006
300.2,0.2548,0.09296,0.8245,2.664,0.01097,0.396,0.05279,0.03546,0.02984,19.49,0.1292,0.2772,0.3108,0.1259
432,0.2678,0.07371,0.3197,1.426,0.005427,0.04649,0.01843,0.05628,0.004635,26.38,0.1385,0.4092,0.5774,0.103
426,0.1499,0.06758,0.1924,0.6417,0.006982,0.04017,0.01528,0.0226,0.006822,17.6,0.1073,0.2793,0.2604,0.09879
221.2,0.2163,0.07359,0.3368,2.777,0.02075,0,0,0.06146,0.00682,22.44,0.1347,0.07767,0.3142,0.08116
372.7,0.2003,0.06246,0.1642,1.031,0.005296,0.01723,0.00696,0.0188,0.001941,20.83,0.1095,0.1982,0.3202,0.07287
840.4,0.2175,0.06218,0.4312,1.022,0.005635,0.06072,0.01656,0.03197,0.004085,31.03,0.1415,0.4665,0.4824,0.09614
1088,0.2183,0.06197,0.8307,1.466,0.006248,0.05196,0.01158,0.02007,0.00456,34.01,0.1491,0.4257,0.3444,0.09782
629.8,0.1926,0.05982,0.2027,1.851,0.006113,0.04645,0.01276,0.01451,0.003756,34.27,0.138,0.2733,0.2698,0.08351
1157,0.1741,0.05176,1,0.6336,0.009406,0.04344,0.02794,0.03156,0.003362,17.81,0.1124,0.2016,0.2443,0.06251
1335,0.1571,0.05478,0.6137,0.6575,0.006211,0.02681,0.01232,0.01276,0.001711,23.17,0.1562,0.3055,0.2689,0.07055
668.3,0.1953,0.06654,0.3577,1.281,0.006703,0.02315,0.01184,0.019,0.003224,33.39,0.1648,0.3416,0.3321,0.08911
584.8,0.162,0.06688,0.272,1.047,0.006298,0.02615,0.009061,0.0149,0.003599,24.75,0.1264,0.2037,0.2249,0.08492
1288,0.1814,0.05572,0.3977,1.033,0.005043,0.02117,0.008185,0.01282,0.001892,39.16,0.1522,0.2945,0.3151,0.07999
285.7,0.158,0.06235,0.2957,1.363,0.00744,0.02337,0.009615,0.02203,0.004154,25.59,0.1199,0.09546,0.2552,0.0792
336.1,0.2217,0.06481,0.355,1.534,0.007595,0.0288,0.008614,0.0271,0.003451,23.31,0.1219,0.1486,0.2826,0.07552
271.3,0.1742,0.06059,0.5375,2.927,0.01159,0,0,0.03004,0.003324,34.24,0.1073,0.07158,0.2475,0.06969
359.9,0.2016,0.05977,0.3077,1.621,0.006543,0.02991,0.01045,0.01844,0.00269,32.04,0.1303,0.1696,0.2965,0.07662
782.7,0.1847,0.05338,0.4033,1.078,0.009769,0.05051,0.01992,0.02981,0.003002,27.66,0.1131,0.1924,0.2809,0.06287
370,0.1486,0.06615,0.3796,1.743,0.009519,0.0199,0.01155,0.02079,0.002701,25.58,0.1363,0.1644,0.2251,0.07732
537.9,0.1619,0.05584,0.2084,1.35,0.005768,0.0151,0.006451,0.01347,0.001828,34.23,0.1289,0.1063,0.2444,0.06788
506.3,0.1585,0.06065,0.2367,1.38,0.007499,0.02332,0.00892,0.01647,0.002629,33.37,0.1419,0.1523,0.2829,0.08067
994,0.2113,0.07115,0.403,0.7747,0.007159,0.06165,0.01051,0.01591,0.005099,27.78,0.1873,0.5917,0.3245,0.1198
464.1,0.1959,0.05955,0.236,0.6656,0.008045,0.01683,0.01241,0.01924,0.002248,15.64,0.1385,0.1266,0.2827,0.06771
333.6,0.1925,0.06915,0.3276,1.127,0.007364,0.05263,0.01264,0.02161,0.00483,21.57,0.1327,0.2996,0.302,0.09646
230.9,0.1649,0.07633,0.1665,0.5864,0.008261,0.03259,0.0104,0.01708,0.003806,19.62,0.1724,0.2364,0.2926,0.1017
955.1,0.1739,0.06149,0.6003,0.8225,0.005627,0.03407,0.01354,0.01925,0.003742,19.52,0.1255,0.2812,0.2756,0.07919
